 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
"PerkDescription_StrongThrow","Every {0} enemies <style=KeyWord>damaged</style> with a <style=KeyWord>Boomerang</style> skill, the next <style=KeyWord>Boomerang</style> <style=""Skill"">skill</style> gets:
<color=#549EE4>Secondary</color> tiles now count as <style=bad>Primary</style> tiles.
Precise Targeting gets: {1}{2}.
<style=Attenuated>This modifier is reset every morning.</style>
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Tous les {0} ennemis <style=KeyWord>endommagés</style> avec une compétence <style=KeyWord>Boomerang</style>, la prochaine <style=""Skill"">compétence</style> <style=KeyWord>Boomerang</style> obtient<nbsp>:
Les cases <color=#549EE4>secondaires</color> comptent maintenant comme des cases <style=bad>primaires</style>.
Ciblage précis obtient<nbsp>: {1}{2}.
<style=Attenuated>Ce modificateur est réinitialisé chaque matin.</style>
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","每用<style=KeyWord>回旋镖</style>技能<style=KeyWord>伤害</style>{0}个敌人，下一个<style=KeyWord>回旋镖</style><style=""Skill"">技能</style>获得：
<color=#549EE4>次要</color>格子现在算作<style=bad>主要</style>格子。
精确瞄准获得：{1}{2}。
<style=Attenuated>此修正每天早上重置。</style>
<style=""ElfIcon""></style><style=""ElfText"">《琥珀幽森的精灵》DLC</style>","每用<style=KeyWord>迴力鏢</style>技能<style=KeyWord>傷害</style>{0}個敵人，下一個<style=KeyWord>迴力鏢</style><style=""Skill"">技能</style>獲得：
<color=#549EE4>次要</color>格子現在算作<style=bad>主要</style>格子。
精確瞄準獲得：{1}{2}。
<style=Attenuated>此修正每天早上重置。</style>
<style=""ElfIcon""></style><style=""ElfText"">〈琥珀幽森的精靈〉DLC</style>","<style=KeyWord>ブーメラン</style>スキルで{0}体の敵に<style=KeyWord>ダメージ</style>を与えるたびに、次の<style=KeyWord>ブーメラン</style><style=""Skill"">スキル</style>は以下を獲得する：
<color=#549EE4>セカンダリ</color>タイルが<style=bad>プライマリ</style>タイルとしてカウントされるようになる。
精密照準の効果：{1}{2}。
<style=Attenuated>この修正は毎朝リセットされます。</style>
<style=""ElfIcon""></style><style=""ElfText"">アンバーワルドのエルフDLC</style>","Каждые {0} врагов, получивших <style=KeyWord>урон</style> от навыка <style=KeyWord>бумеранга</style>, следующий <style=""Skill"">навык</style> <style=KeyWord>бумеранга</style> получает:
<color=#549EE4>Второстепенные</color> клетки теперь считаются <style=bad>основными</style> кл етками.
Точное прицеливание получает: {1}{2}.
<style=Attenuated>Этот модификатор сбрасывается каждое утро.</style>
<style=""ElfIcon""></style><style=""ElfText"">Дополнительный контент Elves of Amberwald</style>","Кожні {0} ворогів, яким завдано <style=KeyWord>шкоду</style> вмінням <style=KeyWord>бумеранга</style>, наступне <style=""Skill"">вміння</style> <style=KeyWord>бумер анга</style> отримує:
<color=#549EE4>Вторинні</color> клітинки тепер рахуються як <style=bad>основні</style> клітинки.
Точне прицілювання отримує: {1}{2}.
<style=Attenuated>Цей модифікатор скидається щоранку.</style>
<style=""ElfIcon""></style><style=""ElfText"">Доповнення Elves of Amberwald</style>","Jedes Mal, wenn {0} Gegner mit einer <style=KeyWord>Bumerang</style>-Fähigkeit <style=KeyWord>Schaden</style> erleiden, erhält die nächste <style=""Skill"">Fähigkeit</style> <style=KeyWord>Bumerang</style>:
<color=#549EE4>Sekundäre</color> Felder zählen jetzt als <style=bad>primäre</style> Felder.
Präzises Zielen erhält: {1}{2}.
<style=Attenuated>Dieser Modifikator wird jeden Morgen zurückgesetzt.</style>
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Cada {0} enemigos <style=KeyWord>dañados</style> con una habilidad de <style=KeyWord>bumerán</style>, la siguiente <style=""Skill"">habilidad</style> de <style=KeyWord>bumerán</style> obtiene:
Las casillas <color=#549EE4>secundarias</color> ahora cuentan como casillas <style=bad>primarias</style>.
Puntería precisa obtiene: {1}{2}.
<style=Attenuated>Este modificador se reinicia cada mañana.</style>
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","A cada {0} inimigos <style=KeyWord>danificados</style> com uma habilidade de <style=KeyWord>Bumerangue</style>, a próxima <style=""Skill"">habilidade</style> de <style=KeyWord>Bumerangue</style> recebe:
Quadrados <color=#549EE4>secundários</color> agora contam como quadrados <style=bad>primários</style>.
Mira Precisa recebe: {1}{2}.
<style=Attenuated>Este modificador é redefinido todas as manhãs.</style>
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","<style=KeyWord>부메랑</style> 스킬로 {0}명의 적에게 <style=KeyWord>피해</style>를 줄 때마다 다음 <style=KeyWord>부메랑</style> <style=""Skill"">스킬</style>이 획득:
<color=#549EE4>보조</color> 타일은 이제 <style=bad>주요</style> 타일로 간주됩니다.
정밀 조준 획득: {1}{2}.
<style=Attenuated>이 수정치는 매일 아침 초기화됩니다.</style>
<style=""ElfIcon""></style><style=""ElfText"">암버발트의 엘프 DLC</style>"
"PerkEffectInformations_StrongThrow","Enemies to hit: {3}","Ennemis à toucher<nbsp>: {3}","还需击中敌人数：{3}","還需擊中敵人數：{3}","命中させるエネミー: {3}","Ещё попаданий: {3}","Залишилося ударити ворогів: {3}.","Zu treffende Gegner: {3}","Enemigos por golpear: {3}","Inimigos a serem golpeados: {3}","명중해야 하는 적: {3}"
"PerkDescription_Sentry","As long as there is <style=KeyWord>no other Hero</style> within a <style=KeyWord>range of {0}</style>, all <style=""skill"">skills</style> get:
{1} 
and the Hero gets: {2}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Tant qu'<style=KeyWord>aucun autre Héros</style> n'est dans une <style=KeyWord>portée de {0}</style>, toutes les <style=""skill"">compétences</style> obtiennent<nbsp>:
{1} et {2}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","只要<style=KeyWord>{0}格范围</style>内<style=KeyWord>没有其他英雄</style>，所有<style=""skill"">技能</style>获得：
{1}和{2}。
<style=""ElfIcon""></style><style=""ElfText"">《琥珀幽森的精灵》DLC</style>","{0}格<style=KeyWord>範圍內</style><style=KeyWord>沒有其他英雄</style>時，所有<style=""skill"">技能</style>獲得：
{1}和{2}。
<style=""ElfIcon""></style><style=""ElfText"">〈琥珀幽森的精靈〉DLC</style>","<style=KeyWord>{0}以内の距離</style>に<style=KeyWord>ほかの英雄がいない</style>状態のあいだ、全ての<style=""skill"">スキル</style>が以下の効果を得る:
{1}と{2}。
<style=""ElfIcon""></style><style=""ElfText"">アンバーワルドのエルフDLC</style>","Если на <style=KeyWord>расстоянии {0} яч.</style> вокруг героя <style=KeyWord>нет других героев</style>, все <style=""skill"">навыки</style> получают свойство:
{1} и {2}.
<style=""ElfIcon""></style><style=""ElfText"">Дополнительный контент ""Elves of Amberwald""</style>","Поки на <style=KeyWord>відстані {0}</style> <style=KeyWord>немає інших героїв</style>, усі <style=""skill"">вміння</style> отримують:
{1} і {2}.
<style=""ElfIcon""></style><style=""ElfText"">Доповнення Elves of Amberwald</style>","Wenn sich <style=KeyWord>kein anderer Held</style> innerhalb einer <style=KeyWord>Reichweite von {0} Feldern</style> befindet, erhalten alle <style=""skill"">Fähigkeiten</style>:
{1} und {2}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Siempre que <style=KeyWord>no haya ningún otro héroe</style> a una <style=KeyWord>distancia máxima de {0} casillas</style>, todas las <style=""skill"">habilidades</style> obtienen:
{1} y {2}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","Desde que <style=KeyWord>não haja outro Herói</style> em uma <style=KeyWord>distância de até {0}</style>, todas as <style=""skill"">habilidades</style> recebem:
{1} e {2}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","<style=KeyWord>{0}타일</style> 이내에 <style=KeyWord>다른 영웅이 없을</style> 경우 모든 <style=""skill"">스킬</style>에 적용:
{1} 및 {2}
<style=""ElfIcon""></style><style=""ElfText"">암버발트의 엘프 DLC</style>"
"PerkDescription_Longstrider","Every {0} tiles traveled by a Hero with a {2} or {3} <style=Skill>skill</style>:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Toutes les {0} cases parcourues par le Héros avec des <style=Skill>compétences</style> {2} ou {3}<nbsp>:
Les cases parcourues de {1} sont augmentées de {4}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","英雄每使用{2}或{3}<style=Skill>技能</style>移动{0}格：
{1}移动的格数提升{4}。
<style=""ElfIcon""></style><style=""ElfText"">《琥珀幽森的精灵》DLC</style>","英雄每使用{2}或{3}<style=Skill>技能</style>移動{0}格方格：
{1}的格數提升{4}。
<style=""ElfIcon""></style><style=""ElfText"">〈琥珀幽森的精靈〉DLC</style>","{2}または{3}の<style=Skill>スキル</style>を使って英雄が{0}タイル移動するたび、以下の効果を得る:
{1}のタイル移動が{4}増える。
<style=""ElfIcon""></style><style=""ElfText"">アンバーワルドのエルフDLC</style>","За каждые {0} яч., пройденные героем с <style=Skill>навыком</style> ""{2}"" либо ""{3}"":
{1} от пройденных ячеек получает +{4}.
<style=""ElfIcon""></style><style=""ElfText"">Дополнительный контент ""Elves of Amberwald""</style>","Кожні {0} шт. плиток, по яких пройшов герой із <style=Skill>уміннями</style> «{2}» чи «{3}»:
{1} плитки, що були пройдені, збільшуються на {4}.
<style=""ElfIcon""></style><style=""ElfText"">Доповнення Elves of Amberwald</style>","Alle {0} Felder, die ein Held mit der <style=Skill>Fähigkeit</style> {2} oder {3} zurücklegt, geschieht Folgendes:
Die Zahl der mit {1} zurückgelegten Felder erhöht sich um {4}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Cada {0} casillas recorridas por un héroe con la <style=Skill>habilidad</style> {2} o {3}:
Las casillas de {1} recorridas aumentan en {4}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","A cada {0} casas percorridas pelo Herói com uma <style=Skill>habilidade</style> de {2} ou {3}:
As casas de {1} percorridas aumentam em {4}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","{2} 또는 {3} <style=Skill>스킬</style>로 영웅이 {0}타일 이동할 때마다:
이동한 {1} 타일이 {4} 증가
<style=""ElfIcon""></style><style=""ElfText"">암버발트의 엘프 DLC</style>"
"BuildingUpgradeTooltipDescription_UpgradePoisonSeed0","Upgrades <style=KeyWord>Venomous Roots</style>:
• <style=Poison>Poison</style> 50 > <style=GoodNb>75</style>
• Duration 2 > <style=GoodNb>3</style>.","Améliore <style=KeyWord>Racines Vénéneuses</style><nbsp>:
• <style=Poison>Poison</style> 50 > <style=GoodNb>75</style>
• Durée 2 > <style=GoodNb>3</style>.","升级<style=KeyWord>有毒根茎</style>：
 • <style=Poison>中毒</style>50 > <style=GoodNb>75</style>
 • 持续时间 2 > <style=GoodNb>3</style>.","升級<style=KeyWord>毒根</style>：
 • <style=Poison>中毒傷害</style>50 > <style=GoodNb>75</style>
 • 持續時間 2 > <style=GoodNb>3</style>.","<style=KeyWord>毒の根</style>を強化する:
• <style=Poison>毒</style>50 > <style=GoodNb>75</style>
• 持続時間 2 > <style=GoodNb>3</style>.","Улучшает <style=KeyWord>Ядовитые корни</style>:
 • <style=Poison>яд</style> 50 > <style=GoodNb>75</style>.
 • Длительность 2 > <style=GoodNb>3</style>.","Поліпшує <style=KeyWord>отруйні корені</style>:
 • <style=Poison>Отрута</style> 50 > <style=GoodNb>75</style>
 • Тривалість 2 > <style=GoodNb>3</style>.","Verbessert <style=KeyWord>Giftwurzeln</style>:
 • <style=Poison>Gift</style> 50 > <style=GoodNb>75</style>
 • Dauer 2 > <style=GoodNb>3</style>.","Mejora las <style=KeyWord>Raíces venenosas</style>:
 • <style=Poison>Veneno</style> 50 > <style=GoodNb>75</style>
 • Duración 2 > <style=GoodNb>3</style>.","Melhora <style=KeyWord>Raízes Venenosas</style>:
 • <style=Poison>Envenenamento</style> 50 > <style=GoodNb>75</style>
 • Duração 2 > <style=GoodNb>3</style>.","<style=KeyWord>독성 뿌리</style> 강화:
 • <style=Poison>중독</style> 50 > <style=GoodNb>75</style>
 • 지속 시간 2 > <style=GoodNb>3</style>."
"BuildingUpgradeTooltipDescription_UpgradePurgingSeed0","Upgrades <style=KeyWord>Purging Spores</style>:
• <style=Resistance>Resistance</style> -10% > <style=GoodNb>-20%</style>","Améliore <style=KeyWord>Spores Epurantes</style><nbsp>:
• <style=Resistance>Resistance</style> -10% > <style=GoodNb>-20%</style>","升级<style=KeyWord>清除孢子</style>：
 • <style=Resistance>防御</style>-10% > <style=GoodNb>-20%</style>","升級<style=KeyWord>淨化孢子</style>：
 • <style=Resistance>抗性</style>-10% > <style=GoodNb>-20%</style>","<style=KeyWord>瀉出の胞子</style>を強化する:
• <style=Resistance>耐性</style>-10% > <style=GoodNb>-20%</style>","Улучшает <style=KeyWord>Очищающие споры</style>:
 • <style=Resistance>сопротивление</style> -10% > <style=GoodNb>-20%</style>.","Поліпшує <style=KeyWord>очищувальні спори</style>:
 • <style=Resistance>Опiр</style> -10% > <style=GoodNb>-20%</style>","Verbessert <style=KeyWord>Reinigende Sporen</style>:
 • <style=Resistance>Resistenz</style> -10 % > <style=GoodNb>-20 %</style>","Mejora <style=KeyWord>Esporas depurativas</style>:
 • <style=Resistance>Resistencia</style> -20 % > <style=GoodNb>-30 %</style>","Melhora <style=KeyWord>Esporos Purgantes</style>:
 • <style=Resistance>Resistência</style> -10% > <style=GoodNb>-20%</style>","<style=KeyWord>숙청의 포자</style> 강화:
 • <style=Resistance>저항</style> -10% > <style=GoodNb>-20%</style>"
"ResearchDescription_RepelLumberjacksResearch","All Heroes Gain {1}.
<style=PhysicalDamage>Physical Damage</style> now deals {0} damage to <style=Armor>Armor</style>.","Tous les héros gagnent {1}.
Les <style=PhysicalDamage>dégâts physique</style> font maitenant {0} dégât à l'<style=Armor>Armure</style>.","所有英雄获得{1}。
<style=PhysicalDamage>物理伤害</style>现在对<style=Armor>护甲</style>造成{0}伤害","所有英雄獲得{1}。
<style=PhysicalDamage>物理傷害</style>現在對<style=Armor>護甲</style>造成{0}傷害。","すべての英雄は{1}を獲得する。
<style=PhysicalDamage>物理ダメージ</style>が<style=Armor>アーマー</style>に{0}ダメージを与える。","Все герои получают {1}.
<style=PhysicalDamage>Физический урон</style> наносит {0} урона <style=Armor>броне</style>.","Усі герої отримують {1}.
<style=PhysicalDamage>Фізична шкода</style> тепер завдає {0} шкоди <style=Armor>броні</style>.","Alle Helden erhalten {1}.
<style=PhysicalDamage>Physischer Schaden</style> fügt <style=Armor>Rüstung</style> nun {0} Schaden zu.","Todos los héroes obtienen {1}.
Ahora el <style=PhysicalDamage>daño físico</style> inflige un {0} de daño a la <style=Armor>armadura</style>.","Todos os Heróis recebem {1}.
<style=PhysicalDamage>Dano Físico</style> agora causa {0} de dano à <style=Armor>Armadura</style>.","모든 영웅이 {1}을(를) 획득합니다.
<style=PhysicalDamage>물리 피해</style>가 이제 <style=Armor>장갑</style>에 {0}의 피해를 줍니다."
"ResearchDescription_RepelArchersResearch","All Heroes Gain {1}.
The <style=RangedDamage>Ranged Damage</style> <style=Dodge>Dodge</style> <style=KeyWord>multiplier</style> is reduced by {0}.
<style=Attenuated>In cases where the multiplier becomes less than 1, enemy Dodge is reduced instead of being increased.</style>","Tous les héros gagnent {1}.
Le <style=KeyWord>multiplicateur</style> d'<style=Dodge>Esquive</style> des <style=RangedDamage>Dégâts à distance</style> est réduit de {0}.
<style=Attenuated>Dans les cas où le multiplicateur devient inférieur à 1, l'esquive ennemi est réduite au lieu d'être augmenté.</style>","所有英雄获得{1}。
敌人的<style=RangedDamage>远程伤害</style><style=Dodge>闪避</style><style=KeyWord>倍率</style>降低{0}。
<style=Attenuated>当倍率小于1时，敌人的闪避将下降而非上升。</style>","所有英雄獲得{1}。
<style=RangedDamage>遠程傷害</style><style=Dodge>閃避</style><style=KeyWord>加成係數</style>降低{0}。
<style=Attenuated>加成係數低於1時，敵人閃避不會增加，而會減少。</style>","すべての英雄は{1}を獲得する。
<style=RangedDamage>遠距離ダメージ</style>と<style=Dodge>ドッジ</style>の<style=KeyWord>倍率</style>が{0}減少する。
<style=Attenuated>倍率が1を下回る場合、エネミーのドッジは減少せず、増加する。</style>","Все герои получают {1}.
<style=KeyWord>Множитель</style> <style=Dodge>уклонения</style> цели при стрельбе из <style=RangedDamage>стрелкового оружия</style> уменьшается на {0}.
<style=Attenuated>Если множитель опустился ниже 1, с расстоянием уклонение цели будет только падать.</style>","Усі герої отримують {1}.
<style=KeyWord>Множник</style> <style=Dodge>ухиляння</style> від <style=RangedDamage>стрілецької шкоди</style> зменшено на {0}.
<style=Attenuated>Якщо множник стає меншим за 1, ухиляння ворога зменшується, а не збільшується.</style>","Alle Helden erhalten {1}.
Der <style=RangedDamage>Fernkampfschaden</style>-<style=Dodge>Ausweichmultiplikator</style> wird um {0} reduziert.
<style=Attenuated>Wenn der <style=KeyWord>Multiplikator</style> weniger als 1 beträgt, wird das Ausweichen des Gegners reduziert und nicht erhöht.</style>","Todos los héroes obtienen {1}.
El <style=KeyWord>multiplicador</style> de <style=Dodge>evasión</style> del <style=RangedDamage>daño a distancia</style> se reduce un {0}.
<style=Attenuated>Si el multiplicador es inferior a 1, la evasión del enemigo disminuye en vez de aumentar.</style>","Todos os Heróis recebem {1}.
O <style=KeyWord>multiplicador</style> de <style=Dodge>Esquiva</style> de <style=RangedDamage>Dano à Distância</style> é reduzido em {0}.
<style=Attenuated>Quando o multiplicador se torna inferior a 1, a Esquiva do inimigo é reduzida em vez de aumentar.</style>","모든 영웅이 {1}을(를) 획득합니다.
<style=RangedDamage>사격 피해</style> <style=Dodge>회피</style> <style=KeyWord>배율</style>이 {0}만큼 감소합니다.
<style=Attenuated>배율이 1 미만이 되는 경우 적의 회피가 증가하지 않고 감소합니다.</style>"
"PerkDescription_StrongerMagic","The {0} cost of <style=skill>skills</style> is <style=keyword>reduced</style> by 2 times the Hero's current {1}, up to {2} reduction of the skill's base cost.
<style=Attenuated>On reduction, Mana Cost is rounded up.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Le coût en {0} des <style=skill>compétence</style> est <style=keyword>réduit</style> par 2 fois la {1} actuelle du Héros, jusqu'à {2} de réduction du coût de base.
<style=Attenuated>Lors de la réduction, le coût de Mana est arrondi au supérieur.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","基于英雄当前的{1}的2倍<style=keyword>降低</style>其<style=skill>技能</style>的{0}消耗，最多{2}该技能的基础消耗。
<style=Attenuated>降低时，法力值消耗向上取整。</style>
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","根據英雄目前的{1}的2倍<style=keyword>降低</style><style=skill>技能</style>的{0}消耗量，最多降低至基礎消耗量的{2}。
<style=Attenuated>法力消耗量降低後無條件進位。</style>
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","<style=skill>スキル</style>の{0}コストが英雄の現在の{1}の2倍に応じて<style=keyword>減少</style>する。スキルのベースコストの最大{2}まで減少。
<style=Attenuated>減少時のマナコストは切り上げられる。</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Удвоенное {1} героя <style=keyword>снижает</style> стоимость применения им <style=skill>навыков</style> ({0}) на соответствующую величину, вплоть до {2} к базовой стоимости этого навыка.
<style=Attenuated>Итоговая стоимость округляется в большую сторону.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Вартість ({0}) <style=skill>навичок</style> <style=keyword>зменшено</style> на подвоєний поточний показник ({1}) героя, до {2} від базової вартості навички.
<style=Attenuated>При зменшенні вартість у мані округлюється вгору.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Die {0}kosten von <style=skill>Fähigkeiten</style> werden um das Doppelte des aktuellen „{1}“-Werts des Helden <style=keyword>reduziert</style>, bis zu {2} Reduzierung der Basiskosten der Fähigkeit.
<style=Attenuated>Bei der Reduzierung werden die Manakosten aufgerundet.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","El {0} del coste de las <style=skill>habilidades</style> se <style=keyword>reduce</style> con el doble de la {1} actual del héroe (reducción máxima: {2} del coste base de la habilidad).
<style=Attenuated>Tras la reducción, el coste de maná se redondea hacia arriba.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","O custo de {0} das <style=skill>habilidades</style> é <style=keyword>reduzido</style> pelo dobro do valor atual da {1} do Herói (até {2} de redução do custo base da habilidade).
<style=Attenuated>O Custo de Mana é arredondado para cima quando é reduzido.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","<style=skill>스킬</style>의 {0} 비용이 영웅의 현재 {1}의 2배에 따라 <style=keyword>감소</style>, 최대 기술의 기본 비용의 {2} 감소
<style=Attenuated>감소 시 마나 비용이 올림됨</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
"PerkDescription_DodgePractice","Whenever the Hero <style=Dodge>dodges</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>
","Quand le Héros effectue une <style=Dodge>Esquive</style><nbsp>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>
","当英雄成功<style=Dodge>闪避</style>时：
{0}。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","英雄<style=Dodge>閃避</style>時：
{0}。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","英雄が攻撃を<style=Dodge>ドッジ</style>した場合:
{0}。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Каждый раз, когда герой <style=Dodge>уклоняется</style> от атаки, он получает бонус:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Коли герой <style=Dodge>ухиляється</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Immer wenn der Held <style=Dodge>ausweicht</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Cuando el héroe <style=Dodge>esquiva</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","Sempre que o Herói se <style=Dodge>esquivar</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","영웅이 <style=Dodge>회피</style>할 때마다:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
"PerkEffectInformations_DodgePractice","","","","","","","","","","",""
"PerkDescription_BlockPractice","Every {0} damage <style=Block>blocked</style>:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Tous les {0} dégâts <style=Block>bloqués</style><nbsp>:
{1} jusqu'à la fin de la <style=Night>nuit</style>.","每<style=Block>格挡</style>{0}点伤害：
{1}。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","每<style=Block>格擋</style>{0}傷害：
{1}。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","ダメージを{0}<style=Block>ブロック</style>するごとに:
<style=Night>夜</style>終了まで{1}。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","За каждые {0} ед. <style=Block>заблокированного</style> урона герой получает бонус:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Кожна {0} <style=Block>заблокована</style> шкода:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Pro {0} Schaden, der <style=Block>geblockt</style> wird:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Por cada {0} de daño <style=Block>bloqueado</style>:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","A cada {0} de dano <style=Block>bloqueado</style>:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","피해를 {0} <style=Block>막을</style> 때마다:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
"PerkEffectInformations_BlockPractice","Damage left to block: {2}","Dégâts restants à bloquer<nbsp>: {2}","还需格挡的伤害：{2}点","尚須格擋傷害量：{2}","ブロックする残りダメージ: {2} ","Осталось заблокировать урона: {2} ед. ","Шкоди для блоку: {2} ","Noch zu blockender Schaden: {2} ","Daño por bloquear: {2} ","Dano restante a bloquear: {2}","막아야 할 잔여 피해: {2}"
